model,threshold,accuracy,precision,recall,f1,roc_auc
XGBoost_optimized,0.2799999999999999,0.8052142857142857,0.7433587960323794,0.931961120640366,0.82704382571193,0.9223024746293794
CatBoost_optimized,0.22999999999999995,0.8001428571428572,0.7356308935788056,0.9366781017724414,0.824069416498994,0.9251015265637639
LightGBM_optimized,0.3699999999999999,0.8022857142857143,0.7407196538373947,0.9298170383076043,0.8245658511851945,0.917906034418297
Ensemble_optimized,0.2599999999999999,0.8077142857142857,0.7460553395838098,0.9326758147512865,0.8289925041290814,0.9249646489680486
