iter	Logloss
581	0.3326498313
582	0.3326177273
583	0.3325971089
584	0.3325897191
585	0.3325505913
586	0.3325138512
587	0.3324921
588	0.332465399
589	0.3324517173
590	0.3324186896
591	0.3323993959
592	0.332379039
593	0.3323648693
594	0.3323425081
595	0.3323116241
596	0.3322827096
597	0.3322618821
598	0.3322333859
599	0.3321977787
600	0.3321576575
601	0.3321364466
602	0.3321110701
603	0.3320814236
604	0.3320631059
605	0.3320444396
606	0.3320343308
607	0.3319991419
608	0.3319654868
609	0.3319380015
610	0.3319204855
611	0.3318993791
612	0.3318804862
613	0.3318469356
614	0.3318181954
615	0.3317936207
616	0.331767948
617	0.3317493863
618	0.3317241144
619	0.3316923242
620	0.3316686906
621	0.3316284997
622	0.3316127091
623	0.3315869492
624	0.3315719953
625	0.3315513943
626	0.3315175998
627	0.3314971557
628	0.3314769034
629	0.331470141
630	0.3314505684
631	0.3314225079
632	0.3313993101
633	0.3313756939
634	0.3313353287
635	0.331297142
636	0.3312679835
637	0.3312539533
638	0.3312240977
639	0.3312018236
640	0.331174896
641	0.3311560379
642	0.331137877
643	0.3311118035
644	0.3310849804
645	0.3310507327
646	0.3310210688
647	0.330998603
648	0.3309693922
649	0.3309498893
650	0.330926186
651	0.3309048705
652	0.3308731151
653	0.330849011
654	0.3308370548
655	0.330815443
656	0.3307927158
657	0.3307651433
658	0.3307434618
659	0.3307152967
660	0.3307010399
661	0.3306725612
662	0.3306512805
663	0.3306215817
664	0.3305655131
665	0.3305457313
666	0.3304988476
667	0.3304529226
668	0.33041742
669	0.3303887321
670	0.3303513297
671	0.330319278
672	0.3302906947
673	0.3302699543
674	0.3302250401
675	0.3301810497
676	0.3301605882
677	0.3301338174
678	0.3301170857
679	0.3300876658
680	0.3300791605
681	0.3300521981
682	0.3300361635
683	0.3300130354
684	0.3300000509
685	0.3299684001
686	0.3299393113
687	0.3299050636
688	0.3298688464
689	0.3298451431
690	0.329818843
691	0.3297872444
692	0.3297754974
693	0.3297364741
694	0.3296994378
695	0.3296580094
696	0.3296351601
697	0.3296136181
698	0.3295870913
699	0.3295459418
