iter	Passed	Remaining
468	8799	4334
469	8814	4313
470	8828	4292
471	8843	4271
472	8859	4251
473	8874	4231
474	8889	4210
475	8904	4190
476	8918	4169
477	8936	4150
478	8951	4129
479	8967	4109
480	8981	4089
481	8995	4068
482	9010	4048
483	9025	4027
484	9039	4007
485	9053	3986
486	9078	3970
487	9093	3950
488	9111	3931
489	9125	3911
490	9139	3890
491	9153	3869
492	9167	3849
493	9183	3829
494	9198	3809
495	9213	3789
496	9227	3769
497	9242	3748
498	9257	3728
499	9273	3709
500	9288	3689
501	9303	3669
502	9317	3649
503	9331	3628
504	9346	3609
505	9360	3588
506	9374	3568
507	9389	3548
508	9404	3529
509	9419	3509
510	9434	3489
511	9449	3469
512	9464	3449
513	9478	3430
514	9495	3411
515	9527	3397
516	9542	3377
517	9557	3358
518	9572	3338
519	9587	3318
520	9602	3299
521	9616	3279
522	9630	3259
523	9645	3239
524	9659	3219
525	9673	3199
526	9687	3180
527	9702	3160
528	9715	3140
529	9730	3121
530	9745	3101
531	9759	3082
532	9775	3062
533	9790	3043
534	9805	3024
535	9819	3004
536	9835	2985
537	9850	2966
538	9864	2946
539	9879	2927
540	9894	2907
541	9910	2888
542	9924	2869
543	9942	2851
544	9956	2831
545	9971	2812
546	9985	2793
547	10000	2773
548	10015	2754
549	10029	2735
550	10044	2716
551	10058	2696
552	10073	2677
553	10087	2658
554	10102	2639
555	10118	2620
556	10132	2601
557	10147	2582
558	10163	2563
559	10177	2544
560	10192	2525
561	10207	2506
562	10222	2487
563	10238	2468
564	10252	2449
565	10267	2430
566	10282	2411
567	10297	2392
568	10311	2374
569	10326	2355
570	10342	2336
571	10358	2317
572	10373	2299
573	10388	2280
574	10401	2261
575	10416	2242
576	10431	2223
577	10445	2204
578	10458	2185
579	10473	2166
580	10487	2147
581	10500	2128
582	10515	2110
583	10544	2094
584	10561	2076
585	10577	2057
586	10596	2039
587	10611	2021
588	10625	2002
589	10639	1983
590	10655	1965
591	10670	1946
592	10686	1928
593	10699	1909
594	10714	1890
595	10729	1872
596	10743	1853
597	10757	1834
598	10771	1816
599	10786	1797
600	10800	1779
601	10814	1760
602	10828	1741
603	10844	1723
604	10859	1705
605	10877	1687
606	10890	1668
607	10907	1650
608	10922	1632
609	10943	1614
610	10964	1597
611	10979	1578
612	10993	1560
613	11008	1541
614	11024	1523
615	11040	1505
616	11056	1487
617	11072	1469
618	11087	1450
619	11103	1432
620	11119	1414
621	11135	1396
622	11149	1378
623	11165	1359
624	11179	1341
625	11195	1323
626	11209	1305
627	11224	1286
628	11238	1268
629	11251	1250
630	11264	1231
631	11279	1213
632	11293	1195
633	11307	1177
634	11322	1158
635	11338	1140
636	11352	1122
637	11365	1104
638	11381	1086
639	11396	1068
640	11410	1050
641	11425	1032
642	11439	1014
643	11454	996
644	11470	978
645	11485	960
646	11501	942
647	11515	924
648	11530	906
649	11544	888
650	11564	870
651	11595	853
652	11609	835
653	11625	817
654	11638	799
655	11653	781
656	11668	763
657	11683	745
658	11697	727
659	11711	709
660	11725	691
661	11740	673
662	11755	656
663	11770	638
664	11785	620
665	11800	602
666	11816	584
667	11832	566
668	11848	549
669	11865	531
670	11880	513
671	11895	495
672	11910	477
673	11926	460
674	11944	442
675	11961	424
676	11977	406
677	11991	389
678	12006	371
679	12022	353
680	12036	335
681	12052	318
682	12067	300
683	12081	282
684	12095	264
685	12110	247
686	12125	229
687	12140	211
688	12155	194
689	12170	176
690	12185	158
691	12199	141
692	12214	123
693	12229	105
694	12244	88
695	12258	70
696	12273	52
697	12289	35
698	12305	17
699	12322	0
